name,value,ethnic,year
Pinterest,5,Other,2015
Tumblr,2,Other,2015
Flickr,2,Other,2015
Twitter,4,Other,2015
Secret,,Other,2015
Yahoo!,2,Other,2015
Google,<1,Other,2015
Apple,1,Other,2015
Apple (excluding undeclared),1,Other,2015
Cisco,,Other,2015
eBay,1,Other,2015
HP,<1,Other,2015
Indiegogo,3,Other,2015
Nvidia,<1,Other,2015
Dell,1,Other,2015
Ingram Micro,0,Other,2015
Intel,1,Other,2015
Groupon,4,Other,2015
Amazon,3,Other,2015
Etsy ,,Other,2015
Microsoft,1,Other,2015
Salesforce,3,Other,2015
Pandora,1,Other,2015
Average in top 50 companies,,Other,2015
Fortune 500 CEOs,,Other,2015
Kaiser Permanente,,Other,2015
US Congress,,Other,2015
Venture Capitalists,,Other,2015
